domain,sample_id,question,human_answer,chatgpt_answer,standard_label,review_result,notes
finance,e09bcad5-6458-4c89-b1b2-54edb143d68b,What's a good personal finance management web app that I can use in Canada?,,,human,,
finance,ec7fcabb-3015-4e0a-8917-7523a963d285,"Tracking my spending, and incoming and outgoing (i.e cashflow)",,,human,,
finance,82015777-362c-4d63-8436-83845e496c08,"Is there a more flexible stock chart service, e.g. permitting choice of colours when comparing multiple stocks?",,,human,,
finance,fa89c78b-cb15-4a1d-8a40-d14003cbed93,How does shorting ETFs work? What are the costs and tax implications?,,,human,,
finance,df5b8f45-01ad-4042-9ce2-04feab35a7ba,Where do online stock brokers get their real-time data from?,,,human,,
finance,0b0c8267-1f9c-488e-bc0f-228a1befcc10,Saving for retirement without employer sponsored plan,,,human,,
finance,7f69f972-0d12-4473-a534-80b734ae55c7,How exactly does dealing in stock make me money?,,,ai_generated,,
finance,15fa39f2-d0fa-454b-8460-a560e851df39,Are there special exceptions to the rule that (US) capital gains taxes are owed only when the gain materializes?,,,human,,
finance,45a13071-ccac-41e5-a73b-206b041481ea,Asset classes: Is a Guaranteed Investment Certificate (GIC) considered a bond?,,,human,,
finance,bb7a3a11-62ea-406a-94d5-573f8c200587,UK - How to receive payments in euros,,,human,,
finance,c8bfb656-7387-4e62-a24c-ab91882bb916,How do LLC losses affect personal income taxes in the US?,,,ai_generated,,
finance,1eb76cea-4ec2-4a90-8186-8af9afd9105e,"After Market Price change, how can I get it at that price?",,,ai_generated,,
finance,b95563ee-b789-40a3-a5b0-ff284cc17648,How to find the smallest transaction fees and commissions available and reduce trading overhead?,,,human,,
finance,28a8657b-b6f0-4cbd-8a4b-238a5600d959,Does high inflation help or hurt companies with huge cash reserves?,,,ai_generated,,
finance,49e005aa-8cec-4aba-a355-eb83c3aef37d,Real estate agent best practice,,,ai_generated,,
finance,8c1aca29-2b78-4374-8e04-cefad4921c2a,In-laws moving in (financial/tax implications)?,,,ai_generated,,
finance,99fd7850-8921-4f03-9123-a47c85d5b19e,What is the different between 2 :1 split and 1:1 split,,,human,,
finance,e4049234-df2f-4fad-bd89-8d127a12694a,Stocks are traded on secondary markets?,,,human,,
finance,3ae7305c-d84a-49ba-8368-2000076c7a0d,What traditionally happens to bonds when the stock market crashes?,,,human,,
finance,efd5f56e-cb26-436c-bd88-4da220e1c1d2,Co-signer deceased,,,human,,
finance,2a9cb640-7a78-4491-92e3-a2acfdb84a5c,How to Transition From Employee to Employer?,,,human,,
finance,18a48d7f-1f8b-4d92-90af-286a3822ff2b,Where to park money while saving for a car,,,ai_generated,,
finance,c95bfd0a-a7bf-4e60-b013-f3c79bf7501f,Why does my car loan interest go up despite making payments on-time?,,,human,,
finance,41b026f2-43fa-4a98-a033-f35f331c3334,Do my parents need to pay me minimum wage?,,,human,,
finance,4ac670c0-143e-4395-8842-267f027a6386,stock for a particular brand,,,ai_generated,,
finance,e2848d7d-e631-4bb9-83c3-77c723dde1f1,How does the bank/IRS know whether a bank transfer over $14k is a gift or loan repayment?,,,ai_generated,,
finance,1b76d262-11e1-483f-b7cf-657c3899855d,What happened in Argentina in 2001 bank sector? did the banks closed? all or some?,,,human,,
finance,ce793592-9000-44ac-a4ef-7a6ea29e22da,Does the Fed keeping interest rates low stimulate investment in the stock market and other investments?,,,human,,
finance,c2e5963c-8c7d-4373-9155-bfdf81f43c26,Could one person with a card with no spending limit pay off everyone's debt?,,,ai_generated,,
finance,5acf8a06-a61c-4e59-a5ab-e6826c61368d,Freelancing Tax implication,,,human,,
finance,11a10762-94c4-4273-8fa3-702b523d004a,"What if 40% of the remaining 60% Loan To Value (ratio) is not paid, or the borrower wants to take only 60% of the loan?",,,human,,
finance,693278f5-4aa9-4cdf-88dd-17eb857fffae,Does the currency exchange rate contain any additional information at all?,,,ai_generated,,
finance,cfe218eb-304b-455a-9b92-4f39da3eec7c,How do I do double-entry bookkeeping for separately-managed investment accounts?,,,ai_generated,,
finance,75b42516-34b4-4518-ba4e-14cf82f5f122,What should I do with a savings account in another country?,,,human,,
finance,15947feb-8baa-4121-bc69-0ba33b33b870,How can I investigate historical effect of Rebalancing on Return and Standard Deviation?,,,ai_generated,,
finance,16324892-6a6e-4895-b591-5ec44fa7c04f,Is there a good options strategy that has a fairly low risk?,,,ai_generated,,
finance,63310d70-7a3f-4434-98c6-47c7ff288406,Home Renovations are expensive.. Should I only pay cash for them?,,,ai_generated,,
finance,d8cf18e7-7fe2-47ed-8999-612ddb54612f,Why does quantitative easing negatively affect stocks?,,,ai_generated,,
finance,ff24d9e1-962c-4d6e-aab6-28ccdb9dca6a,Are there any risks from using mint.com?,,,ai_generated,,
finance,527294b4-e193-4cb1-ab90-0bd53ea8f334,How can home buying be considered a sound investment with all of that interest that needs to be paid?,,,human,,
finance,daf208ff-1712-4ab8-a1f8-89e0126b8382,What is the contribution limit for a SEP-IRA?,,,ai_generated,,
finance,66bd55cf-1570-4264-9bbd-1a582dba6981,Side work and managing finances?,,,human,,
finance,e1ea58af-9c34-42f8-a2d4-c5a48f895650,Which is the most liquid market for trading?,,,ai_generated,,
finance,c3ee33ed-3860-4c33-ba55-38d6143a0d1d,Why are options created?,,,human,,
finance,4c8c7b92-1289-4b2e-a007-bed08fc8f6c6,Advice on low-risk long-term strategy for extra cash?,,,ai_generated,,
finance,27cba286-f565-4b63-a87c-082c1a11a94b,I don't live in America. How can I buy IPO stock of newly listed companies in the United States?,,,ai_generated,,
finance,55b57bbe-4ee9-49fd-8f0c-3b69c414fc45,What rules govern when a new option series is issued?,,,human,,
finance,dd86a897-6113-428e-b952-8b3e7bd9204a,Is there an online service that provides public company information through a public API?,,,ai_generated,,
finance,bbd95670-21f7-4c01-a65b-5827472438a3,"If I invest in securities denominated in a foreign currency, should I hedge my currency risk?",,,human,,
finance,ffdeb529-16e8-4c63-8a69-c56cc59a73bd,Does the low CAD positively or negatively impact Canadian Investors?,,,human,,
finance,0090196c-3aaa-481b-b990-d538f11d0eb4,Is there a legal deadline for when your bank/brokerage has to send your tax forms to you?,,,human,,
finance,0b5c93f2-1e7c-4ac3-8c3f-727e809163f4,"My company owed taxes for many years, An accountant asked me to ignore it and register a new one. Is it a right thing to do?",,,human,,
finance,bbb1f043-dc9b-4bcb-8418-63a21785e71e,Buying & Selling Call Options,,,ai_generated,,
finance,e41290b6-17e4-48a3-baac-af2b9aacaa3b,“International credit report” for French nationals?,,,human,,
finance,6d990058-7b7a-47f9-a943-d21cbb8728a3,I am a Resident Alien for tax purposes. Can I claim exemptions from the India - US Tax Treaty (21)?,,,ai_generated,,
finance,3181e387-b0e3-4a92-8588-f34c372e65db,How to quickly track daily cash expenses that don't come with a receipt?,,,ai_generated,,
finance,cc572bc7-4bc5-40e6-8337-7bac690146c1,Is there any drawback in putting all my 401K into a money market fund?,,,ai_generated,,
finance,acf6e71a-917a-4f63-802e-a7e8ff77d920,How to determine duration of a common stock whose dividends grow in perpetuity?,,,human,,
finance,5925f8a2-f67e-482f-b820-8bb33328701b,Looking for advice on rental property,,,human,,
finance,38d93187-8a7b-4911-84a1-9377be323bb1,Using credit card points to pay for tax deductible business expenses,,,human,,
finance,bdf65d80-91cf-4aed-a923-8b31a97d3cac,Where can one find intraday prices for mutual funds?,,,ai_generated,,
finance,a518732d-9b1a-4838-8e82-8eee440641a6,does one have to keep stock until the dividend payment date to get the dividend? (Record Date vs Payment Date) [duplicate],,,human,,
finance,c1a6495c-6aca-47dc-913b-484965a1a0b0,What is the opposite of Economic Bubble?,,,human,,
finance,cd5ce124-3d8a-40fc-9af6-9aa98a6b1862,Who performs the blocking on a Visa card?,,,human,,
finance,b193e302-a63c-488d-a252-eed510e9580a,"Trading on forex news, Interactive Brokers / IDEALPRO, and slippage",,,ai_generated,,
finance,1fe02237-3bd3-4ed3-bfba-56f4c2b44604,Why do VAT-registered businesses in the EU charge VAT to each other?,,,ai_generated,,
finance,a603446d-c149-4ed8-82f0-0bc85e60ccfe,How much financial information should a buyer give an estate agent?,,,human,,
finance,6a1d0702-9320-4656-8324-e1b1c275edb0,Will my wife's business losses offset my income on a joint tax return?,,,human,,
finance,e35ba8d0-f73b-4434-908e-5883c42a1cd3,What is the different between one company's two OTCMKTS symbols?,,,ai_generated,,
finance,63e5159c-295e-4760-a59e-8c185203a892,How do I get into investing?,,,ai_generated,,
finance,b0c542d1-2922-4664-8153-e4fad10df91d,"Why adjust for inflation annually, as opposed to realising it after the holding period?",,,human,,
finance,e961da51-acfa-41d0-8854-ec80c7e16ba2,Canadian accepting money electronically from Americans,,,ai_generated,,
finance,b61f7cd2-b306-4fd3-bbce-ef7ea05c83ee,"In Canada, are options available to subsidize conversion of a house into an energy efficient house?",,,ai_generated,,
finance,7a697e79-ece7-4f84-b4d6-2eaef7e419b2,Record retention requirements for individuals in the U.S.?,,,human,,
finance,13b0d7bb-ecfb-4b83-beaf-acac1fc8b4ed,What does “Yield Curve” mean?,,,human,,
finance,4a70be49-1779-4236-af94-cd0888205828,"Opening 5 credit cards at once with no history to ruin, is it a good idea?",,,ai_generated,,
finance,360ffefa-c78e-4400-9792-62dceae71fc6,How to move (or not move) an LLC from Illinois to New Mexico?,,,ai_generated,,
finance,a20bba4d-aab2-4ab3-a447-88e404d93157,What would I miss out on by self insuring my car?,,,human,,
finance,92d5121c-5700-4fd4-9c30-25c3c699ad8e,What does inflation mean to me?,,,ai_generated,,
finance,83d7b3ab-2e0d-46b1-9c1c-dea374e857f0,Why is the total 401(k) contribution limit (employee + employer) so high?,,,ai_generated,,
